"externalId","component","displayCategory","categoryId","displayName","displayValue","metaType","filelink","filename","link"
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Kategorie","","Text","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Lage Modellelement","ND","Text","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Tragende Funktion","True","Text","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","GUID","ND","Text","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Klasse","ND","Text","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Geschoss","ND","Text","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Länge","0.00","Double","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Dicke","0.00","Double","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Höhe Gesamtaufbau","0.00","Double","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Fläche","0.00","Double","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Volumen","0.00","Double","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Bewehrungsgrad","0.00","Double","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Rohdichten","0.00","Double","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","bewertetes Schalldämmmass Rw","0.00","Double","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Baustoff","","Text","","",""
"a6a1459d-c11b-423f-9ff2-27f88c3d46bf-0006f1ce","Wand Rohbau","IFC-Parameter","PG_IFC","Art Aussenwand","","Text","","",""
